time,relT,xq11,xq12,xq13,xq14,xq10,dgw110,dgw100,xh222,xh220,xh221,xh211,xh210,xh200,xh120,xh100,xh000,ggz12,ggz13,ggz10,ggz11,jjs-xq,dgw-jjs,xh-dgw,btw-xh,mhh100
2024-09-26 00:00:00,0,0.39,0.12,0.1,0.23,0.14,0.14,0.1,0.28,0.11,0.09,0.34,0.11,0.16,0.11,0.11,0.16,0.19,0.09,0.13,0.18,0.09,0.02,0.1,0.12,0.15
2024-09-26 01:00:00,1,0.32,0.12,0.1,0.24,0.14,0.16,0.12,0.32,0.12,0.11,0.39,0.12,0.19,0.12,0.13,0.18,0.21,0.1,0.14,0.21,0.1,0.02,0.1,0.12,0.15
2024-09-26 02:00:00,2,0.27,0.11,0.09,0.21,0.13,0.17,0.12,0.33,0.12,0.11,0.4,0.12,0.19,0.12,0.13,0.19,0.22,0.1,0.13,0.21,0.09,0.02,0.09,0.11,0.13
2024-09-26 03:00:00,3,0.24,0.1,0.08,0.19,0.12,0.17,0.12,0.33,0.12,0.11,0.4,0.13,0.19,0.13,0.13,0.19,0.22,0.1,0.12,0.21,0.08,0.02,0.08,0.1,0.12
2024-09-26 04:00:00,4,0.22,0.09,0.08,0.18,0.11,0.17,0.12,0.33,0.12,0.11,0.4,0.13,0.19,0.13,0.13,0.19,0.22,0.1,0.12,0.21,0.07,0.01,0.07,0.09,0.11
2024-09-26 05:00:00,5,0.21,0.08,0.07,0.16,0.1,0.17,0.12,0.33,0.12,0.11,0.4,0.13,0.19,0.13,0.13,0.19,0.22,0.1,0.11,0.21,0.07,0.01,0.07,0.08,0.1
2024-09-26 06:00:00,6,5.78,0.08,0.06,0.15,0.09,0.17,0.12,0.33,0.12,0.11,0.4,0.13,0.19,0.13,0.13,0.19,0.22,0.1,0.1,0.21,0.06,0.01,0.06,0.08,0.09
2024-09-26 07:00:00,7,98.67,0.07,0.06,0.14,0.08,0.17,0.12,0.33,0.12,0.11,0.4,0.12,0.19,0.12,0.13,0.19,0.22,0.1,0.1,0.21,0.06,0.01,0.06,0.07,0.09
2024-09-26 08:00:00,8,309.88,0.07,0.06,0.13,0.08,0.17,0.12,0.33,0.12,0.11,0.4,0.12,0.19,0.12,0.13,0.19,0.22,0.1,0.09,0.21,0.05,0.01,0.05,0.07,0.08
2024-09-26 09:00:00,9,314.75,0.06,0.05,0.12,0.07,0.17,0.12,0.33,0.12,0.11,0.4,0.12,0.19,0.12,0.13,0.19,0.22,0.1,0.09,0.21,0.05,0.01,0.05,0.06,0.07
