wu0,wl0,wd0,s0,fr0,qi0,qg0,qt0
16.000,64.000,16.000,0.000,0.511,0.001,0.002,0.004
16.000,64.000,16.000,0.000,0.511,0.001,0.002,0.003
16.000,64.000,16.000,0.000,0.511,0.001,0.002,0.003
16.000,64.000,16.000,0.000,0.511,0.001,0.002,0.003
16.000,64.000,16.000,0.000,0.511,0.001,0.002,0.003
16.000,64.000,16.000,0.000,0.511,0.000,0.002,0.002
16.000,64.000,16.000,0.000,0.511,0.000,0.002,0.002
16.000,64.000,16.000,0.000,0.511,0.000,0.004,0.004
16.000,64.000,16.000,0.000,0.511,0.000,0.004,0.004
16.000,64.000,16.000,0.000,0.511,0.000,0.004,0.004
16.000,64.000,16.000,0.000,0.511,0.000,0.004,0.004
16.000,64.000,16.000,0.000,0.511,0.000,0.004,0.004
16.000,64.000,16.000,0.000,0.511,0.000,0.004,0.004
16.000,64.000,16.000,0.000,0.511,0.000,0.004,0.004
16.000,64.000,16.000,0.000,0.511,0.000,0.004,0.004
16.000,64.000,16.000,0.000,0.511,0.000,0.004,0.004
16.000,64.000,16.000,0.000,0.511,0.000,0.004,0.004
16.000,64.000,16.000,0.000,0.511,0.000,0.004,0.004
16.000,64.000,16.000,0.000,0.511,0.000,0.004,0.004
16.000,64.000,16.000,0.000,0.511,0.000,0.004,0.004
16.000,64.000,16.000,0.000,0.511,0.001,0.002,0.004
16.000,64.000,16.000,0.000,0.511,0.001,0.002,0.004
16.000,64.000,16.000,0.000,0.511,0.001,0.002,0.004
16.000,64.000,16.000,0.000,0.511,0.001,0.002,0.004
16.000,64.000,16.000,0.000,0.511,0.001,0.002,0.004
