abr.,area,KC,WM,FB,f0,fc,k,Cs,BX,L,KE,XE
xq11,349,1,63.3,0.11,79.78,8.43,2.18,0.82,2,1,0.45,0.88
xq12,198,1,63.3,0.11,79.78,8.43,2.18,0.82,2,1,0.45,0.88
xq13,167,1,63.3,0.11,79.78,8.43,2.18,0.82,2,1,0.45,0.88
xq14,384,1,63.3,0.11,79.78,8.43,2.18,0.82,2,1,0.45,0.88
xq10,234,1,63.3,0.11,79.78,8.43,2.18,0.82,2,1,0.45,0.88
dgw110,302,1,63.3,0.11,79.78,8.43,2.18,0.82,2,1,0.45,0.88
dgw100,213,1,63.3,0.11,79.78,8.43,2.18,0.82,2,1,0.45,0.88
xh222,295,1,63.3,0.11,79.78,8.43,2.18,0.82,2,1,0.45,0.88
xh220,112,1,63.3,0.11,79.78,8.43,2.18,0.82,2,1,0.45,0.88
xh221,97,1,63.3,0.11,79.78,8.43,2.18,0.82,2,1,0.45,0.88
xh211,360,1,63.3,0.11,79.78,8.43,2.18,0.82,2,1,0.45,0.88
xh210,113,1,63.3,0.11,79.78,8.43,2.18,0.82,2,1,0.45,0.88
xh200,171,1,63.3,0.11,79.78,8.43,2.18,0.82,2,1,0.45,0.88
xh120,113,1,63.3,0.11,79.78,8.43,2.18,0.82,2,1,0.45,0.88
xh100,117,1,63.3,0.11,79.78,8.43,2.18,0.82,2,1,0.45,0.88
xh000,169,1,63.3,0.11,79.78,8.43,2.18,0.82,2,1,0.45,0.88
ggz12,197,1,63.3,0.11,79.78,8.43,2.18,0.82,2,1,0.45,0.88
ggz13,94,1,63.3,0.11,79.78,8.43,2.18,0.82,2,1,0.45,0.88
ggz10,141,1,63.3,0.11,79.78,8.43,2.18,0.82,2,1,0.45,0.88
ggz11,192,1,63.3,0.11,79.78,8.43,2.18,0.82,2,1,0.45,0.88
jjs-xq,156,1,63.3,0.11,79.78,8.43,2.18,0.82,2,1,0.45,0.88
dgw-jjs,32,1,63.3,0.11,79.78,8.43,2.18,0.82,2,1,0.45,0.88
xh-dgw,160,1,63.3,0.11,79.78,8.43,2.18,0.82,2,1,0.45,0.88
btw-xh,198,1,63.3,0.11,79.78,8.43,2.18,0.82,2,1,0.45,0.88
mhh100,241,1,63.3,0.11,79.78,8.43,2.18,0.82,2,1,0.45,0.88
