time,relT,Qin,Qout,SL,V,Qpower,industry,evap,leakage
2024-09-27 00:00:00,0.0,313.87,0.0,1177.1,4760.0,0.0,1.4865,0.0579,0.0772
2024-09-27 01:00:00,1.0,303.88,20.0,1177.23,4867.01,8.0,1.4865,0.0579,0.0772
2024-09-27 02:00:00,2.0,293.92,20.0,1177.34,4966.83,8.0,1.4865,0.0579,0.0772
2024-09-27 03:00:00,3.0,284.04,20.0,1177.45,5063.079,8.0,1.4865,0.0579,0.0772
2024-09-27 04:00:00,4.0,274.29,20.0,1177.56,5155.794,8.0,1.4865,0.0579,0.0772
2024-09-27 05:00:00,5.0,264.68,20.0,1177.67,5245.025,8.0,1.4865,0.0579,0.0772
2024-09-27 06:00:00,6.0,255.22,20.0,1177.78,5330.824,8.0,1.4865,0.0579,0.0772
2024-09-27 07:00:00,7.0,268.83,20.0,1177.89,5417.37,8.0,1.4865,0.0579,0.0772
2024-09-27 08:00:00,8.0,300.09,20.0,1178.01,5511.992,8.0,1.4865,0.0579,0.0772
2024-09-27 09:00:00,9.0,359.48,20.0,1178.16,5622.931,8.0,1.4865,0.0579,0.0772
2024-09-27 10:00:00,10.0,575.83,20.0,1178.36,5783.504,8.0,1.4865,0.0579,0.0772
2024-09-27 11:00:00,11.0,1240.05,20.0,1178.74,6102.579,8.0,1.4865,0.0579,0.0772
2024-09-27 12:00:00,12.0,2044.58,20.0,1179.4,6686.03,8.0,1.4865,0.0579,0.0772
2024-09-27 13:00:00,13.0,2444.45,24.5,1180.16,7485.562,8.0,1.4865,0.0579,0.0772
2024-09-27 14:00:00,14.0,2923.07,40.33,1181.13,8439.638,8.0,1.4865,0.0579,0.0772
2024-09-27 15:00:00,15.0,3033.39,67.25,1182.28,9492.002,8.0,1.4865,0.0579,0.0772
2024-09-27 16:00:00,16.0,3099.51,95.92,1183.31,10566.128,8.0,1.4865,0.0579,0.0772
2024-09-27 17:00:00,17.0,3087.0,137.76,1184.35,11637.169,8.0,1.4865,0.0579,0.0772
2024-09-27 18:00:00,18.0,3015.81,178.43,1185.35,12678.288,8.0,1.4865,0.0579,0.0772
2024-09-27 19:00:00,19.0,2916.35,217.34,1186.31,13674.361,8.0,1.4865,0.0579,0.0772
2024-09-27 20:00:00,20.0,2785.21,254.1,1187.21,14615.299,8.0,1.4865,0.0579,0.0772
2024-09-27 21:00:00,21.0,2635.15,288.38,1188.06,15492.826,8.0,1.4865,0.0579,0.0772
2024-09-27 22:00:00,22.0,2477.01,320.04,1188.83,16303.088,8.0,1.4865,0.0579,0.0772
2024-09-27 23:00:00,23.0,2319.98,349.05,1189.55,17045.687,8.0,1.4865,0.0579,0.0772
2024-09-28 00:00:00,24.0,2170.23,375.51,1190.2,17723.066,8.0,1.4865,0.0579,0.0772
2024-09-28 01:00:00,25.0,2030.56,399.58,1190.79,18339.239,8.0,1.4865,0.0579,0.0772
2024-09-28 02:00:00,26.0,1901.28,421.44,1191.33,18898.723,8.0,1.4865,0.0579,0.0772
2024-09-28 03:00:00,27.0,1781.32,441.25,1191.82,19405.832,8.0,1.4865,0.0579,0.0772
2024-09-28 04:00:00,28.0,1669.07,459.16,1192.26,19864.344,8.0,1.4865,0.0579,0.0772
2024-09-28 05:00:00,29.0,1563.02,475.3,1192.66,20277.513,8.0,1.4865,0.0579,0.0772
2024-09-28 06:00:00,30.0,1462.0,489.77,1193.02,20647.882,8.0,1.4865,0.0579,0.0772
2024-09-28 07:00:00,31.0,1365.29,502.65,1193.33,20977.718,8.0,1.4865,0.0579,0.0772
2024-09-28 08:00:00,32.0,1272.56,514.03,1193.61,21269.069,8.0,1.4865,0.0579,0.0772
2024-09-28 09:00:00,33.0,1183.76,523.99,1193.86,21523.888,8.0,1.4865,0.0579,0.0772
2024-09-28 10:00:00,34.0,1099.03,532.59,1194.07,21744.116,8.0,1.4865,0.0579,0.0772
2024-09-28 11:00:00,35.0,1018.56,539.93,1194.25,21931.807,8.0,1.4865,0.0579,0.0772
2024-09-28 12:00:00,36.0,942.61,546.06,1194.4,22088.891,8.0,1.4865,0.0579,0.0772
2024-09-28 13:00:00,37.0,871.34,551.08,1194.53,22217.444,8.0,1.4865,0.0579,0.0772
2024-09-28 14:00:00,38.0,804.87,555.08,1194.62,22319.648,8.0,1.4865,0.0579,0.0772
2024-09-28 15:00:00,39.0,743.26,558.12,1194.7,22397.489,8.0,1.4865,0.0579,0.0772
2024-09-28 16:00:00,40.0,686.47,560.29,1194.75,22453.039,8.0,1.4865,0.0579,0.0772
2024-09-28 17:00:00,41.0,634.35,561.67,1194.79,22488.375,8.0,1.4865,0.0579,0.0772
2024-09-28 18:00:00,42.0,586.78,562.33,1194.8,22505.395,8.0,1.4865,0.0579,0.0772
2024-09-28 19:00:00,43.0,543.53,562.35,1194.8,22505.827,8.0,1.4865,0.0579,0.0772
2024-09-28 20:00:00,44.0,504.33,561.79,1194.79,22491.413,8.0,1.4865,0.0579,0.0772
2024-09-28 21:00:00,45.0,468.95,560.71,1194.76,22463.874,8.0,1.4865,0.0579,0.0772
2024-09-28 22:00:00,46.0,437.08,559.18,1194.73,22424.658,8.0,1.4865,0.0579,0.0772
2024-09-28 23:00:00,47.0,408.45,557.24,1194.68,22375.14,8.0,1.4865,0.0579,0.0772
2024-09-29 00:00:00,48.0,382.78,554.96,1194.62,22316.678,8.0,1.4865,0.0579,0.0772
2024-09-29 01:00:00,49.0,359.8,552.37,1194.56,22250.323,8.0,1.4865,0.0579,0.0772
