time,relT,qin,qout,SL,V
2024-09-27 00:00:00,0.0,0.24,429.0,1370.8,4191.935
2024-09-27 01:00:00,1.0,0.75,0.75,1370.61,4114.758
2024-09-27 02:00:00,2.0,67.02,0.0,1370.64,4126.822
2024-09-27 03:00:00,3.0,330.42,0.0,1370.82,4198.361
2024-09-27 04:00:00,4.0,255.44,20.0,1371.06,4300.217
2024-09-27 05:00:00,5.0,517.73,20.0,1371.38,4432.189
2024-09-27 06:00:00,6.0,555.3,20.0,1371.83,4618.134
2024-09-27 07:00:00,7.0,543.1,20.0,1372.28,4808.644
2024-09-27 08:00:00,8.0,503.56,20.0,1372.72,4989.843
2024-09-27 09:00:00,9.0,415.57,20.0,1373.1,5148.088
2024-09-27 10:00:00,10.0,500.59,20.0,1373.48,5305.797
2024-09-27 11:00:00,11.0,980.39,20.0,1374.1,5565.173
2024-09-27 12:00:00,12.0,1398.22,20.0,1375.12,5986.123
2024-09-27 13:00:00,13.0,1484.74,20.0,1376.35,6497.858
2024-09-27 14:00:00,14.0,2314.56,20.0,1377.98,7174.532
2024-09-27 15:00:00,15.0,2962.89,20.0,1380.24,8117.272
2024-09-27 16:00:00,16.0,3186.93,91.3,1382.86,9204.303
2024-09-27 17:00:00,17.0,3312.76,107.44,1385.59,10338.564
2024-09-27 18:00:00,18.0,2876.95,122.7,1388.17,11411.457
2024-09-27 19:00:00,19.0,2236.05,135.13,1390.27,12285.526
2024-09-27 20:00:00,20.0,1612.42,144.27,1391.82,12928.059
2024-09-27 21:00:00,21.0,1083.53,150.42,1392.86,13360.421
2024-09-27 22:00:00,22.0,730.04,154.29,1393.51,13632.187
2024-09-27 23:00:00,23.0,515.4,156.68,1393.92,13800.497
2024-09-28 00:00:00,24.0,388.28,158.19,1394.17,13906.617
2024-09-28 01:00:00,25.0,313.25,159.18,1394.34,13975.942
2024-09-28 02:00:00,26.0,265.53,159.85,1394.45,14022.819
2024-09-28 03:00:00,27.0,231.94,160.3,1394.53,14054.819
2024-09-28 04:00:00,28.0,206.46,160.6,1394.58,14076.021
2024-09-28 05:00:00,29.0,186.25,160.79,1394.61,14088.892
2024-09-28 06:00:00,30.0,169.75,160.87,1394.63,14095.09
2024-09-28 07:00:00,31.0,155.93,160.88,1394.63,14095.799
2024-09-28 08:00:00,32.0,144.09,160.83,1394.62,14091.885
2024-09-28 09:00:00,33.0,133.75,160.72,1394.6,14083.999
2024-09-28 10:00:00,34.0,124.57,160.55,1394.57,14072.64
2024-09-28 11:00:00,35.0,116.32,160.35,1394.54,14058.2
2024-09-28 12:00:00,36.0,108.81,160.1,1394.5,14040.996
2024-09-28 13:00:00,37.0,101.92,159.82,1394.45,14021.289
2024-09-28 14:00:00,38.0,95.56,159.51,1394.4,13999.298
2024-09-28 15:00:00,39.0,89.64,159.17,1394.34,13975.21
2024-09-28 16:00:00,40.0,84.14,158.8,1394.28,13949.19
2024-09-28 17:00:00,41.0,79.01,158.4,1394.21,13921.39
2024-09-28 18:00:00,42.0,74.22,157.98,1394.14,13891.948
2024-09-28 19:00:00,43.0,69.74,157.54,1394.06,13860.987
2024-09-28 20:00:00,44.0,65.52,157.08,1393.99,13828.618
2024-09-28 21:00:00,45.0,61.58,156.6,1393.91,13794.946
2024-09-28 22:00:00,46.0,57.87,156.11,1393.82,13760.068
2024-09-28 23:00:00,47.0,54.38,155.6,1393.74,13724.074
2024-09-29 00:00:00,48.0,51.11,155.07,1393.65,13687.048
2024-09-29 01:00:00,49.0,48.04,154.53,1393.55,13649.07
