time,relT,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14
2024-09-26 00:00:00,-24,0.0,0.0,0.0,0.2,0.3,0.07,0.32,0.16,1.27,0.08,0.17,0.43,430.45,0.0,1.92
2024-09-26 01:00:00,-23,0.16,0.14,0.01,0.2,0.3,0.07,0.38,0.18,1.37,0.08,0.17,0.6,429.71,0.06,15.5
2024-09-26 02:00:00,-22,0.16,0.14,0.3,0.25,0.3,0.07,0.42,0.2,1.47,0.09,0.18,0.69,428.44,0.17,49.18
2024-09-26 03:00:00,-21,0.16,0.14,0.32,0.48,0.3,0.08,0.44,0.22,1.56,0.1,0.18,0.72,426.53,0.22,99.31
2024-09-26 04:00:00,-20,0.14,0.12,0.32,0.64,0.3,0.08,0.46,0.23,1.64,0.1,0.19,0.73,424.04,0.22,157.53
2024-09-26 05:00:00,-19,0.13,0.11,0.28,0.8,0.3,0.09,0.47,0.24,1.72,0.1,0.2,0.72,420.9,0.19,215.37
2024-09-26 06:00:00,-18,0.11,0.09,0.24,0.94,0.3,0.09,0.49,0.25,1.78,0.1,0.2,0.7,417.08,0.16,266.94
2024-09-26 07:00:00,-17,0.1,0.08,0.22,0.96,0.29,0.1,0.5,0.26,1.83,0.1,0.2,0.69,412.58,0.14,309.25
2024-09-26 08:00:00,-16,0.09,0.08,0.19,0.9,0.29,0.1,0.5,0.26,1.88,0.1,0.21,0.67,407.41,0.12,341.61
2024-09-26 09:00:00,-15,0.08,0.07,0.18,0.79,0.29,0.1,0.51,0.26,1.91,0.1,0.21,0.66,401.56,0.11,364.78
2024-09-26 10:00:00,-14,0.08,0.06,0.16,0.69,0.29,0.11,0.51,0.26,1.93,0.1,0.21,0.65,395.07,0.1,380.16
2024-09-26 11:00:00,-13,0.07,0.06,0.15,0.63,0.29,0.11,0.51,0.26,1.95,0.1,0.21,0.64,387.96,0.09,389.32
2024-09-26 12:00:00,-12,0.07,0.06,0.14,0.56,0.29,0.11,0.51,0.26,1.95,0.1,0.21,0.63,380.29,0.09,393.67
2024-09-26 13:00:00,-11,0.06,0.05,0.13,0.52,0.29,0.11,0.52,0.26,1.95,0.1,0.21,0.62,372.07,0.08,394.43
2024-09-26 14:00:00,-10,0.06,0.05,0.12,0.48,0.29,0.11,0.52,0.26,1.95,0.1,0.21,0.62,363.36,0.07,392.51
2024-09-26 15:00:00,-9,0.05,0.05,0.11,0.44,0.29,0.11,0.52,0.26,1.94,0.1,0.21,0.61,354.22,0.07,388.61
2024-09-26 16:00:00,-8,0.05,0.04,0.1,0.41,0.29,0.11,0.52,0.26,1.93,0.1,0.21,0.6,344.69,0.07,383.21
2024-09-26 17:00:00,-7,0.05,0.04,0.1,0.38,0.29,0.11,0.52,0.26,1.92,0.1,0.21,0.6,334.82,0.06,376.67
2024-09-26 18:00:00,-6,0.04,0.04,0.09,0.36,0.29,0.11,0.52,0.26,1.91,0.1,0.21,0.59,324.65,0.06,369.24
2024-09-26 19:00:00,-5,0.04,0.03,0.09,0.34,0.29,0.11,0.52,0.26,1.89,0.1,0.21,0.59,314.27,0.05,361.12
2024-09-26 20:00:00,-4,0.04,0.03,0.08,0.31,0.29,0.11,0.52,0.26,1.88,0.1,0.21,0.59,303.71,0.05,352.42
2024-09-26 21:00:00,-3,0.04,0.03,0.08,0.29,0.29,0.11,0.52,0.25,1.86,0.1,0.21,0.58,293.01,0.05,343.25
2024-09-26 22:00:00,-2,0.03,0.03,0.07,0.28,0.29,0.11,0.52,0.25,1.85,0.1,0.21,0.58,282.24,0.04,333.7
2024-09-26 23:00:00,-1,0.03,0.03,0.07,0.26,0.29,0.11,0.52,0.25,1.83,0.1,0.21,0.58,271.43,0.04,323.84
2024-09-27 00:00:00,0,0.03,0.03,0.06,0.24,0.29,0.11,0.52,0.25,1.82,0.1,0.21,0.57,265.06,0.04,313.87
2024-09-27 01:00:00,1,0.35,0.28,0.1,0.69,0.29,0.11,0.52,0.25,1.81,0.1,0.21,0.57,253.46,0.04,303.88
2024-09-27 02:00:00,2,16.78,13.56,1.91,21.66,0.29,0.11,0.52,0.25,1.79,0.1,0.21,0.57,243.77,0.03,293.91
2024-09-27 03:00:00,3,54.89,45.07,27.42,70.64,0.29,0.11,0.51,0.25,1.77,0.1,0.21,0.57,234.6,0.03,283.99
2024-09-27 04:00:00,4,59.88,50.56,88.3,106.03,0.29,0.11,0.51,0.25,1.76,0.1,0.21,0.56,225.38,0.03,274.15
2024-09-27 05:00:00,5,35.88,30.3,110.33,163.0,0.29,0.11,0.51,0.25,1.75,0.1,0.21,0.56,216.25,0.03,264.41
2024-09-27 06:00:00,6,27.33,23.04,75.36,215.35,0.29,0.11,0.51,0.25,1.74,0.1,0.21,0.56,207.47,0.03,254.79
2024-09-27 07:00:00,7,22.15,18.67,57.59,242.69,5.49,0.18,2.19,1.03,8.36,0.36,0.47,3.77,212.86,0.82,255.32
2024-09-27 08:00:00,8,28.1,23.71,47.56,260.11,12.96,0.46,5.52,2.62,18.78,1.68,1.55,10.95,226.02,4.79,265.87
2024-09-27 09:00:00,9,39.77,33.58,58.15,262.96,22.76,1.08,10.77,5.11,33.22,4.56,4.05,22.83,246.51,13.63,289.22
2024-09-27 10:00:00,10,55.82,47.15,80.15,287.83,42.92,2.3,20.77,9.78,62.07,9.07,8.69,43.61,292.84,27.59,337.3
2024-09-27 11:00:00,11,87.72,74.12,112.32,454.77,135.66,5.3,57.11,26.71,186.0,18.33,18.72,101.85,506.43,55.03,495.48
2024-09-27 12:00:00,12,215.64,182.38,183.24,779.82,273.32,12.18,123.17,57.81,382.03,40.5,40.45,208.96,840.62,117.83,778.88
2024-09-27 13:00:00,13,437.12,369.95,433.36,906.7,305.5,23.29,175.98,82.75,463.32,76.01,75.78,321.01,971.3,218.3,1050.82
