wu0,wl0,wd0,s0,fr0,qi0,qg0,qt0
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.2151,0.2620
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.2140,0.2606
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.2141,0.2608
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.2150,0.2619
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.2185,0.2661
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.0285,0.0286
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.0285,0.0286
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.0304,0.0305
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.0304,0.0305
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.0304,0.0305
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.0304,0.0305
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.0304,0.0305
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.0304,0.0305
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.0304,0.0305
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.0304,0.0305
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.0304,0.0305
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.0235,0.0235
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.0235,0.0235
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.1761,0.2145
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.0235,0.0235
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.1980,0.2412
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.1761,0.2145
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.1761,0.2145
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.1761,0.2145
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.1761,0.2145
