time,relT,qin,qout,SL,V
2024-09-27 00:00:00,0.0,0.24,429.0,1370.8,4191.935
2024-09-27 01:00:00,1.0,0.69,0.69,1370.61,4114.758
2024-09-27 02:00:00,2.0,21.66,0.0,1370.62,4118.657
2024-09-27 03:00:00,3.0,70.64,0.0,1370.66,4135.271
2024-09-27 04:00:00,4.0,106.03,0.0,1370.74,4167.072
2024-09-27 05:00:00,5.0,163.0,0.0,1370.86,4215.496
2024-09-27 06:00:00,6.0,215.35,20.0,1371.01,4279.997
2024-09-27 07:00:00,7.0,242.69,20.0,1371.19,4355.245
2024-09-27 08:00:00,8.0,260.11,20.0,1371.39,4438.55
2024-09-27 09:00:00,9.0,262.96,20.0,1371.6,4525.503
2024-09-27 10:00:00,10.0,287.83,20.0,1371.82,4617.445
2024-09-27 11:00:00,11.0,454.77,20.0,1372.13,4743.913
2024-09-27 12:00:00,12.0,779.82,20.0,1372.65,4958.939
2024-09-27 13:00:00,13.0,906.7,20.0,1373.36,5255.312
2024-09-27 14:00:00,14.0,1219.47,20.0,1374.26,5630.824
2024-09-27 15:00:00,15.0,1667.65,20.0,1375.5,6143.307
2024-09-27 16:00:00,16.0,2019.69,20.0,1377.07,6799.829
2024-09-27 17:00:00,17.0,2274.91,20.0,1378.92,7565.657
2024-09-27 18:00:00,18.0,2299.52,79.45,1380.86,8371.318
2024-09-27 19:00:00,19.0,2158.13,90.43,1382.71,9143.236
2024-09-27 20:00:00,20.0,1890.1,100.31,1384.38,9837.694
2024-09-27 21:00:00,21.0,1576.55,108.65,1385.8,10424.17
2024-09-27 22:00:00,22.0,1300.53,115.45,1386.94,10901.857
2024-09-27 23:00:00,23.0,1072.24,120.92,1387.87,11286.53
2024-09-28 00:00:00,24.0,893.2,125.33,1388.62,11596.083
2024-09-28 01:00:00,25.0,759.2,128.91,1389.22,11847.914
2024-09-28 02:00:00,26.0,658.64,131.87,1389.72,12056.317
2024-09-28 03:00:00,27.0,581.34,134.37,1390.14,12231.702
2024-09-28 04:00:00,28.0,520.46,136.5,1390.5,12381.366
2024-09-28 05:00:00,29.0,471.37,138.33,1390.82,12510.591
2024-09-28 06:00:00,30.0,430.85,139.93,1391.09,12623.047
2024-09-28 07:00:00,31.0,396.65,141.33,1391.32,12721.495
2024-09-28 08:00:00,32.0,367.15,142.56,1391.53,12807.986
2024-09-28 09:00:00,33.0,341.23,143.65,1391.71,12884.074
2024-09-28 10:00:00,34.0,318.12,144.6,1391.88,12951.044
2024-09-28 11:00:00,35.0,297.23,145.44,1392.02,13009.752
2024-09-28 12:00:00,36.0,278.17,146.16,1392.14,13060.967
2024-09-28 13:00:00,37.0,260.65,146.79,1392.25,13105.335
2024-09-28 14:00:00,38.0,244.42,147.34,1392.34,13143.402
2024-09-28 15:00:00,39.0,229.37,147.79,1392.42,13175.645
2024-09-28 16:00:00,40.0,215.34,148.18,1392.48,13202.487
2024-09-28 17:00:00,41.0,202.24,148.49,1392.53,13224.308
2024-09-28 18:00:00,42.0,189.97,148.73,1392.57,13241.45
2024-09-28 19:00:00,43.0,178.49,148.91,1392.6,13254.229
2024-09-28 20:00:00,44.0,167.71,149.04,1392.63,13262.937
2024-09-28 21:00:00,45.0,157.62,149.11,1392.64,13267.843
2024-09-28 22:00:00,46.0,148.12,149.13,1392.64,13269.197
2024-09-28 23:00:00,47.0,139.2,149.1,1392.64,13267.23
2024-09-29 00:00:00,48.0,130.84,149.03,1392.62,13262.162
2024-09-29 01:00:00,49.0,122.97,148.91,1392.6,13254.199
