time,relT,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14
2024-09-26 00:00:00,-24,0.0,0.0,0.0,0.14,0.28,0.07,0.32,0.16,1.24,0.08,0.17,0.43,430.34,0.0,1.82
2024-09-26 01:00:00,-23,0.05,0.04,0.01,0.14,0.3,0.07,0.38,0.18,1.37,0.08,0.17,0.59,429.63,0.03,15.37
2024-09-26 02:00:00,-22,0.05,0.09,0.21,0.16,0.3,0.07,0.41,0.2,1.48,0.09,0.18,0.66,428.36,0.09,48.98
2024-09-26 03:00:00,-21,0.04,0.1,0.24,0.33,0.3,0.08,0.44,0.22,1.57,0.1,0.18,0.69,426.5,0.12,99.12
2024-09-26 04:00:00,-20,0.04,0.08,0.21,0.42,0.3,0.08,0.46,0.23,1.65,0.1,0.19,0.7,424.02,0.12,157.35
2024-09-26 05:00:00,-19,0.04,0.08,0.19,0.52,0.3,0.09,0.47,0.24,1.73,0.1,0.2,0.69,420.88,0.12,215.22
2024-09-26 06:00:00,-18,0.03,0.07,0.18,0.62,0.29,0.09,0.49,0.25,1.79,0.1,0.2,0.68,417.06,0.11,266.81
2024-09-26 07:00:00,-17,0.03,0.06,0.16,0.6,0.29,0.1,0.49,0.26,1.84,0.1,0.2,0.67,412.57,0.1,309.13
2024-09-26 08:00:00,-16,0.03,0.06,0.15,0.54,0.29,0.1,0.5,0.26,1.88,0.1,0.21,0.65,407.38,0.09,341.52
2024-09-26 09:00:00,-15,0.03,0.06,0.14,0.73,0.29,0.1,0.5,0.26,1.91,0.1,0.21,0.64,401.53,0.09,364.69
2024-09-26 10:00:00,-14,0.02,0.05,0.13,3.06,0.29,0.11,0.51,0.26,1.93,0.1,0.21,0.63,395.07,0.08,380.08
2024-09-26 11:00:00,-13,0.02,0.05,0.12,16.64,0.29,0.11,0.51,0.26,1.95,0.1,0.21,0.62,388.12,0.07,389.24
2024-09-26 12:00:00,-12,0.02,0.05,0.11,64.77,0.29,0.11,0.51,0.26,1.95,0.1,0.21,0.61,381.07,0.07,393.64
2024-09-26 13:00:00,-11,0.02,0.04,0.1,163.03,0.29,0.11,0.51,0.26,1.96,0.1,0.21,0.61,374.44,0.07,394.53
