wu0,wl0,wd0,s0,fr0,qi0,qg0,qt0
23.8187,73.0920,41.6449,0.0000,0.3310,0.0000,0.0002,0.0003
20.4283,68.1000,27.9600,0.0000,0.9014,0.1327,0.0000,0.1341
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.2141,0.2166
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.2150,0.2175
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.2185,0.2210
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.0285,0.0285
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.0285,0.0285
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.0304,0.0305
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.0304,0.0305
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.0304,0.0305
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.0304,0.0305
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.0304,0.0305
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.0304,0.0305
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.0304,0.0305
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.0304,0.0305
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.0304,0.0305
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.0235,0.0235
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.0235,0.0235
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.1761,0.1781
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.0235,0.0235
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.1980,0.2003
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.1761,0.1781
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.1761,0.1781
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.1761,0.1781
17.0379,65.9700,35.2000,0.0000,0.9900,0.0000,0.1761,0.1781
