time,relT,Qin,Qout,SL,V,Qpower,industry,evap,leakage
2024-09-27 00:00:00,0.0,332.99,0.0,1177.1,4760.0,0.0,1.4865,0.0579,0.0772
2024-09-27 01:00:00,1.0,325.66,20.0,1177.23,4874.373,8.0,1.4865,0.0579,0.0772
2024-09-27 02:00:00,2.0,318.34,20.0,1177.36,4982.509,8.0,1.4865,0.0579,0.0772
2024-09-27 03:00:00,3.0,310.99,20.0,1177.48,5088.004,8.0,1.4865,0.0579,0.0772
2024-09-27 04:00:00,4.0,313.61,20.0,1177.61,5192.649,8.0,1.4865,0.0579,0.0772
2024-09-27 05:00:00,5.0,326.05,20.0,1177.74,5300.005,8.0,1.4865,0.0579,0.0772
2024-09-27 06:00:00,6.0,351.05,20.0,1177.89,5414.098,8.0,1.4865,0.0579,0.0772
2024-09-27 07:00:00,7.0,400.51,20.0,1178.05,5541.594,8.0,1.4865,0.0579,0.0772
2024-09-27 08:00:00,8.0,559.83,20.0,1178.27,5706.672,8.0,1.4865,0.0579,0.0772
2024-09-27 09:00:00,9.0,844.11,20.0,1178.56,5951.599,8.0,1.4865,0.0579,0.0772
2024-09-27 10:00:00,10.0,1116.67,20.0,1178.96,6296.756,8.0,1.4865,0.0579,0.0772
2024-09-27 11:00:00,11.0,1433.26,20.0,1179.46,6747.96,8.0,1.4865,0.0579,0.0772
2024-09-27 12:00:00,12.0,1627.94,23.08,1179.98,7290.778,8.0,1.4865,0.0579,0.0772
2024-09-27 13:00:00,13.0,1783.64,29.81,1180.55,7894.909,8.0,1.4865,0.0579,0.0772
2024-09-27 14:00:00,14.0,1862.51,42.54,1181.23,8537.749,8.0,1.4865,0.0579,0.0772
2024-09-27 15:00:00,15.0,1878.52,58.75,1181.96,9192.498,8.0,1.4865,0.0579,0.0772
2024-09-27 16:00:00,16.0,1861.0,76.09,1182.62,9840.854,8.0,1.4865,0.0579,0.0772
2024-09-27 17:00:00,17.0,1810.51,92.2,1183.22,10471.028,8.0,1.4865,0.0579,0.0772
2024-09-27 18:00:00,18.0,1738.57,115.68,1183.8,11071.989,8.0,1.4865,0.0579,0.0772
2024-09-27 19:00:00,19.0,1652.54,137.72,1184.34,11636.313,8.0,1.4865,0.0579,0.0772
2024-09-27 20:00:00,20.0,1558.87,158.21,1184.85,12160.628,8.0,1.4865,0.0579,0.0772
2024-09-27 21:00:00,21.0,1463.12,177.08,1185.31,12643.754,8.0,1.4865,0.0579,0.0772
2024-09-27 22:00:00,22.0,1369.32,194.37,1185.74,13086.243,8.0,1.4865,0.0579,0.0772
2024-09-27 23:00:00,23.0,1280.05,210.14,1186.13,13489.91,8.0,1.4865,0.0579,0.0772
2024-09-28 00:00:00,24.0,1196.5,224.48,1186.48,13857.032,8.0,1.4865,0.0579,0.0772
2024-09-28 01:00:00,25.0,1119.03,237.49,1186.8,14190.233,8.0,1.4865,0.0579,0.0772
2024-09-28 02:00:00,26.0,1047.4,249.29,1187.09,14492.115,8.0,1.4865,0.0579,0.0772
2024-09-28 03:00:00,27.0,981.1,259.95,1187.36,14765.116,8.0,1.4865,0.0579,0.0772
2024-09-28 04:00:00,28.0,919.57,269.58,1187.59,15011.445,8.0,1.4865,0.0579,0.0772
2024-09-28 05:00:00,29.0,862.26,278.23,1187.81,15233.081,8.0,1.4865,0.0579,0.0772
2024-09-28 06:00:00,30.0,808.7,286.0,1188.0,15431.88,8.0,1.4865,0.0579,0.0772
2024-09-28 07:00:00,31.0,758.56,292.93,1188.17,15609.347,8.0,1.4865,0.0579,0.0772
2024-09-28 08:00:00,32.0,711.55,299.09,1188.32,15766.955,8.0,1.4865,0.0579,0.0772
2024-09-28 09:00:00,33.0,667.51,304.53,1188.45,15906.07,8.0,1.4865,0.0579,0.0772
2024-09-28 10:00:00,34.0,626.28,309.29,1188.57,16027.987,8.0,1.4865,0.0579,0.0772
2024-09-28 11:00:00,35.0,587.76,313.43,1188.67,16133.934,8.0,1.4865,0.0579,0.0772
2024-09-28 12:00:00,36.0,551.86,316.99,1188.76,16225.167,8.0,1.4865,0.0579,0.0772
2024-09-28 13:00:00,37.0,518.49,320.02,1188.83,16302.72,8.0,1.4865,0.0579,0.0772
2024-09-28 14:00:00,38.0,487.55,322.56,1188.9,16367.672,8.0,1.4865,0.0579,0.0772
2024-09-28 15:00:00,39.0,458.93,324.64,1188.95,16421.051,8.0,1.4865,0.0579,0.0772
2024-09-28 16:00:00,40.0,432.55,326.32,1188.99,16463.91,8.0,1.4865,0.0579,0.0772
2024-09-28 17:00:00,41.0,408.26,327.61,1189.02,16497.081,8.0,1.4865,0.0579,0.0772
2024-09-28 18:00:00,42.0,385.97,328.57,1189.05,16521.518,8.0,1.4865,0.0579,0.0772
2024-09-28 19:00:00,43.0,365.53,329.21,1189.06,16537.919,8.0,1.4865,0.0579,0.0772
2024-09-28 20:00:00,44.0,346.83,329.57,1189.07,16547.044,8.0,1.4865,0.0579,0.0772
2024-09-28 21:00:00,45.0,329.74,329.67,1189.07,16549.599,8.0,1.4865,0.0579,0.0772
2024-09-28 22:00:00,46.0,314.12,329.53,1189.07,16546.231,8.0,1.4865,0.0579,0.0772
2024-09-28 23:00:00,47.0,299.88,329.19,1189.06,16537.536,8.0,1.4865,0.0579,0.0772
2024-09-29 00:00:00,48.0,286.89,328.67,1189.05,16524.061,8.0,1.4865,0.0579,0.0772
2024-09-29 01:00:00,49.0,275.04,327.97,1189.03,16506.303,8.0,1.4865,0.0579,0.0772
