time,relT,qin,qout,SL,V
2024-09-27 00:00:00,0.0,85.93,429.0,1370.8,4191.935
2024-09-27 01:00:00,1.0,122.37,20.0,1370.7,4148.609
2024-09-27 02:00:00,2.0,184.76,0.0,1370.82,4200.293
2024-09-27 03:00:00,3.0,231.35,20.0,1370.99,4271.592
2024-09-27 04:00:00,4.0,229.0,20.0,1371.17,4347.253
2024-09-27 05:00:00,5.0,206.34,20.0,1371.34,4418.414
2024-09-27 06:00:00,6.0,188.07,20.0,1371.5,4482.21
2024-09-27 07:00:00,7.0,220.3,20.0,1371.66,4548.517
2024-09-27 08:00:00,8.0,404.44,20.0,1371.91,4653.77
2024-09-27 09:00:00,9.0,743.13,20.0,1372.39,4853.133
2024-09-27 10:00:00,10.0,875.54,20.0,1373.07,5137.293
2024-09-27 11:00:00,11.0,1188.35,20.0,1373.95,5501.592
2024-09-27 12:00:00,12.0,1597.23,20.0,1375.14,5995.796
2024-09-27 13:00:00,13.0,1805.64,20.0,1376.6,6601.112
2024-09-27 14:00:00,14.0,1833.75,20.0,1378.16,7249.002
2024-09-27 15:00:00,15.0,1642.24,20.0,1379.64,7867.481
2024-09-27 16:00:00,16.0,1417.61,79.87,1380.93,8400.445
2024-09-27 17:00:00,17.0,1176.05,86.09,1381.98,8837.571
2024-09-27 18:00:00,18.0,952.15,91.08,1382.82,9188.869
2024-09-27 19:00:00,19.0,777.2,95.04,1383.49,9466.828
2024-09-27 20:00:00,20.0,644.32,98.18,1384.02,9688.063
2024-09-27 21:00:00,21.0,549.38,100.73,1384.46,9867.238
2024-09-27 22:00:00,22.0,480.72,102.85,1384.81,10016.107
2024-09-27 23:00:00,23.0,428.66,104.65,1385.12,10142.607
2024-09-28 00:00:00,24.0,387.39,106.2,1385.38,10251.683
2024-09-28 01:00:00,25.0,353.57,107.55,1385.61,10346.701
2024-09-28 02:00:00,26.0,326.08,108.74,1385.81,10430.21
2024-09-28 03:00:00,27.0,307.8,109.81,1385.99,10505.066
2024-09-28 04:00:00,28.0,307.12,110.82,1386.16,10576.131
2024-09-28 05:00:00,29.0,329.28,111.88,1386.34,10650.694
2024-09-28 06:00:00,30.0,358.39,113.06,1386.54,10734.093
2024-09-28 07:00:00,31.0,365.12,114.34,1386.76,10823.508
2024-09-28 08:00:00,32.0,342.07,115.56,1386.96,10909.532
2024-09-28 09:00:00,33.0,302.53,116.62,1387.14,10983.864
2024-09-28 10:00:00,34.0,261.69,117.46,1387.29,11043.441
2024-09-28 11:00:00,35.0,226.28,118.11,1387.39,11088.988
2024-09-28 12:00:00,36.0,197.58,118.59,1387.48,11122.762
2024-09-28 13:00:00,37.0,174.74,118.94,1387.53,11147.087
2024-09-28 14:00:00,38.0,156.48,119.18,1387.58,11163.889
2024-09-28 15:00:00,39.0,141.6,119.33,1387.6,11174.639
2024-09-28 16:00:00,40.0,129.23,119.41,1387.61,11180.429
2024-09-28 17:00:00,41.0,118.7,119.44,1387.62,11182.066
2024-09-28 18:00:00,42.0,109.56,119.41,1387.61,11180.156
2024-09-28 19:00:00,43.0,101.49,119.34,1387.6,11175.159
2024-09-28 20:00:00,44.0,94.27,119.23,1387.58,11167.434
2024-09-28 21:00:00,45.0,87.75,119.08,1387.56,11157.275
2024-09-28 22:00:00,46.0,81.79,118.91,1387.53,11144.922
2024-09-28 23:00:00,47.0,76.33,118.7,1387.49,11130.577
2024-09-29 00:00:00,48.0,71.3,118.47,1387.46,11114.417
2024-09-29 01:00:00,49.0,66.63,118.22,1387.41,11096.594
